category,amt,cnt,year_month
별식/퓨전요리,48988170540.0,1736033.0,202503
분식,45832125000.0,2964208.0,202503
양식,23436639084.0,605502.0,202503
일식/수산물,80723429066.0,1556008.0,202503
제과/제빵/떡/케익,52810511708.0,3992186.0,202503
중식,31902697076.0,1226808.0,202503
커피/음료,92346461020.0,10066358.0,202503
패스트푸드,37492627127.0,3034773.0,202503
한식,323800586700.0,9797981.0,202503
간이주점,39263486373.0,808782.0,202504
고기요리,91588335446.0,1541329.0,202504
닭/오리요리,43523571229.0,1342642.0,202504
별식/퓨전요리,46013482935.0,1684842.0,202504
분식,45935090057.0,3031422.0,202504
양식,21196616883.0,586313.0,202504
일식/수산물,73849155863.0,1478455.0,202504
제과/제빵/떡/케익,50980060048.0,3960610.0,202504
중식,29700689510.0,1195556.0,202504
커피/음료,92493624117.0,10427068.0,202504
패스트푸드,37548250559.0,3084930.0,202504
한식,306890270789.0,9630770.0,202504
간이주점,43038457560.0,898058.0,202505
고기요리,103359518300.0,1658302.0,202505
닭/오리요리,49024707861.0,1461276.0,202505
별식/퓨전요리,50334372177.0,1741367.0,202505
분식,50707908020.0,3182647.0,202505
양식,24617511803.0,624850.0,202505
일식/수산물,83706374738.0,1590892.0,202505
제과/제빵/떡/케익,54272475353.0,4116077.0,202505
중식,32245670770.0,1241630.0,202505
커피/음료,100329448590.0,11049980.0,202505
패스트푸드,39407946074.0,3153828.0,202505
한식,339142754457.0,10303680.0,202505
간이주점,41313679398.0,870678.0,202506
고기요리,91903081156.0,1534117.0,202506
닭/오리요리,47300712230.0,1404699.0,202506
별식/퓨전요리,45173776622.0,1600355.0,202506
분식,49504404297.0,3075965.0,202506
양식,21990424087.0,591371.0,202506
일식/수산물,74343169796.0,1464074.0,202506
제과/제빵/떡/케익,48107553253.0,3825798.0,202506
중식,30133390437.0,1197114.0,202506
커피/음료,100308643267.0,11549195.0,202506
패스트푸드,37116793311.0,3035411.0,202506
한식,308391752819.0,9654024.0,202506
간이주점,44108444378.0,925868.0,202507
고기요리,96088245951.0,1617223.0,202507
닭/오리요리,55891536412.0,1591694.0,202507
별식/퓨전요리,50016259486.0,1768249.0,202507
분식,51108397484.0,3121832.0,202507
양식,24067087288.0,636917.0,202507
일식/수산물,76684225821.0,1509966.0,202507
제과/제빵/떡/케익,49251523769.0,3948153.0,202507
중식,32102402309.0,1258584.0,202507
커피/음료,107343398854.0,12253803.0,202507
패스트푸드,40148344072.0,3231820.0,202507
한식,329242855382.0,10172206.0,202507
간이주점,44208391220.0,935015.0,202508
고기요리,101276228727.0,1678036.0,202508
닭/오리요리,51189890070.0,1514445.0,202508
별식/퓨전요리,52879943707.0,1825697.0,202508
분식,51773826395.0,3108515.0,202508
양식,25432443851.0,653321.0,202508
일식/수산물,84936666973.0,1661261.0,202508
제과/제빵/떡/케익,53575356004.0,4255415.0,202508
중식,32943551322.0,1282043.0,202508
커피/음료,107690562468.0,12145373.0,202508
패스트푸드,43511218553.0,3487208.0,202508
한식,338586835699.0,10517110.0,202508
간이주점,40527767443.0,860318.0,202509
고기요리,91342055022.0,1552742.0,202509
닭/오리요리,43736862270.0,1357215.0,202509
별식/퓨전요리,49224279350.0,1820670.0,202509
분식,45261558163.0,3005397.0,202509
양식,21826168000.0,593706.0,202509
일식/수산물,78965314689.0,1605387.0,202509
제과/제빵/떡/케익,53494422716.0,4291667.0,202509
중식,29950672365.0,1229142.0,202509
커피/음료,95749404760.0,11210869.0,202509
패스트푸드,39921917290.0,3303836.0,202509
한식,318039599656.0,10139738.0,202509
간이주점,42643337794.0,896836.0,202510
고기요리,95339158769.0,1574075.0,202510
닭/오리요리,45849843942.0,1401159.0,202510
별식/퓨전요리,52830108331.0,1846598.0,202510
분식,47089798201.0,2961515.0,202510
양식,23749167305.0,606008.0,202510
일식/수산물,87414924754.0,1690119.0,202510
제과/제빵/떡/케익,59164578362.0,4424769.0,202510
중식,32467334565.0,1261284.0,202510
커피/음료,99559105036.0,10984506.0,202510
패스트푸드,42553734366.0,3340980.0,202510
한식,330346481367.0,10455295.0,202510
간이주점,40383455471.0,824590.0,202511
고기요리,91891105475.0,1540655.0,202511
닭/오리요리,43968445871.0,1358983.0,202511
별식/퓨전요리,50504568268.0,1839542.0,202511
분식,44379740171.0,2922557.0,202511
양식,23474600901.0,584402.0,202511
일식/수산물,83406431584.0,1650817.0,202511
제과/제빵/떡/케익,54373547439.0,4198926.0,202511
중식,31017255053.0,1237573.0,202511
커피/음료,92025821643.0,10172316.0,202511
패스트푸드,40169578667.0,3199828.0,202511
한식,329196479068.0,10383602.0,202511
