year_month,age_group,sex,card_tpbuz_nm_2,amt,cnt
202206,40대,F,패스트푸드,5187151656,457204
202206,40대,F,한식,28267242657,936144
202206,40대,M,간이주점,8456541435,175039
202206,40대,M,고기요리,30358785782,634435
202206,40대,M,디저트/음료,20414380644,1929452
202206,40대,M,별식/퓨전요리,4356037951,192123
202206,40대,M,분식,7448265401,528420
202206,40대,M,양식,3610335992,100152
202206,40대,M,일식/수산물,14128966420,244079
202206,40대,M,중식,5749245559,234838
202206,40대,M,패스트푸드,5917636181,500482
202206,40대,M,한식,47368094195,1323797
202206,50대,F,간이주점,2381806573,65695
202206,50대,F,고기요리,15753841232,385036
202206,50대,F,디저트/음료,15289935310,1332558
202206,50대,F,별식/퓨전요리,2372336774,107517
202206,50대,F,분식,5051085320,371355
202206,50대,F,양식,1784692959,60617
202206,50대,F,일식/수산물,8710274228,193621
202206,50대,F,중식,2320842919,102371
202206,50대,F,패스트푸드,3285432749,279550
202206,50대,F,한식,28929168664,915561
202206,50대,M,간이주점,5799122590,127140
202206,50대,M,고기요리,26211627493,578447
202206,50대,M,디저트/음료,14815108747,1242371
202206,50대,M,별식/퓨전요리,3846910328,178308
202206,50대,M,분식,6145569598,430484
202206,50대,M,양식,2120211336,65368
202206,50대,M,일식/수산물,14240918679,262571
202206,50대,M,중식,4447740505,194846
202206,50대,M,패스트푸드,3720534277,308688
202206,50대,M,한식,44966132819,1289239
202206,60대 이상,F,간이주점,858431955,25043
202206,60대 이상,F,고기요리,9249914012,231355
202206,60대 이상,F,디저트/음료,8299012304,656009
202206,60대 이상,F,별식/퓨전요리,1442446973,68168
202206,60대 이상,F,분식,2795214469,195222
202206,60대 이상,F,양식,804607335,24746
202206,60대 이상,F,일식/수산물,6348179817,154828
202206,60대 이상,F,중식,1295656338,57481
202206,60대 이상,F,패스트푸드,1288958958,108698
202206,60대 이상,F,한식,20434206344,618878
202206,60대 이상,M,간이주점,1993765640,52053
202206,60대 이상,M,고기요리,14838805981,345744
202206,60대 이상,M,디저트/음료,8200156588,598967
202206,60대 이상,M,별식/퓨전요리,2423330581,121785
202206,60대 이상,M,분식,3589194678,241925
202206,60대 이상,M,양식,974347923,29194
202206,60대 이상,M,일식/수산물,9995058136,206876
202206,60대 이상,M,중식,2328892325,109985
202206,60대 이상,M,패스트푸드,1504485132,126457
202206,60대 이상,M,한식,30077274940,899221
202207,30대,F,간이주점,3584767097,86071
202207,30대,F,고기요리,11638324092,271825
202207,30대,F,디저트/음료,16349378371,1691873
202207,30대,F,별식/퓨전요리,1882518599,82989
202207,30대,F,분식,3821383667,299203
202207,30대,F,양식,2224087673,64153
202207,30대,F,일식/수산물,4851976575,105233
202207,30대,F,중식,2036055584,80438
202207,30대,F,패스트푸드,3844843743,332503
202207,30대,F,한식,20163674526,663098
202207,30대,M,간이주점,8648407903,178789
202207,30대,M,고기요리,22667752630,470970
202207,30대,M,디저트/음료,17033640231,1809016
202207,30대,M,별식/퓨전요리,3134520596,141884
202207,30대,M,분식,5051481613,363728
202207,30대,M,양식,3140793623,92806
202207,30대,M,일식/수산물,9215183169,162081
202207,30대,M,중식,4170438226,160602
202207,30대,M,패스트푸드,5494816365,484959
202207,30대,M,한식,34369068327,1020317
202207,40대,F,간이주점,3796367917,95584
202207,40대,F,고기요리,17627674330,426106
202207,40대,F,디저트/음료,21138810737,2056690
202207,40대,F,별식/퓨전요리,2654178279,116783
202207,40대,F,분식,6428866834,487326
202207,40대,F,양식,2977545603,93328
202207,40대,F,일식/수산물,7668747437,169186
202207,40대,F,중식,3237168802,142086
202207,40대,F,패스트푸드,5399809015,461010
202207,40대,F,한식,29064218789,946264
202207,40대,M,간이주점,8619152099,177385
202207,40대,M,고기요리,31283350117,655368
202207,40대,M,디저트/음료,20907885451,1990355
202207,40대,M,별식/퓨전요리,4291773419,188136
202207,40대,M,분식,7684459987,534912
202207,40대,M,양식,3798200363,103102
202207,40대,M,일식/수산물,13997541331,241665
202207,40대,M,중식,5928999000,237795
202207,40대,M,패스트푸드,6146906191,510258
202207,40대,M,한식,47916815994,1344290
202207,50대,F,간이주점,2456267258,66117
202207,50대,F,고기요리,16444951081,399692
202207,50대,F,디저트/음료,15475389080,1345374
202207,50대,F,별식/퓨전요리,2285478941,102256
202207,50대,F,분식,5089024064,368353
202207,50대,F,양식,1813163040,60205
202207,50대,F,일식/수산물,8653341328,189569
202207,50대,F,중식,2370865456,102163
202207,50대,F,패스트푸드,3410261094,280836
202207,50대,F,한식,29631872828,920406
202207,50대,M,간이주점,5909157367,129634
202207,50대,M,고기요리,27382739960,602945
202207,50대,M,디저트/음료,15138369084,1278752
202207,50대,M,별식/퓨전요리,3736627606,172390
202207,50대,M,분식,6450457626,439819
202207,50대,M,양식,2256912987,67235
202207,50대,M,일식/수산물,14451897897,261034
202207,50대,M,중식,4595535423,197070
202207,50대,M,패스트푸드,3865042692,314539
202207,50대,M,한식,46287652159,1312566
202207,60대 이상,F,간이주점,817445850,24859
202207,60대 이상,F,고기요리,9833480375,241762
202207,60대 이상,F,디저트/음료,8138682246,667885
202207,60대 이상,F,별식/퓨전요리,1305764149,62253
202207,60대 이상,F,분식,2763658422,187711
202207,60대 이상,F,양식,831956053,24640
202207,60대 이상,F,일식/수산물,6139203276,147089
202207,60대 이상,F,중식,1300528903,57491
202207,60대 이상,F,패스트푸드,1336059612,112353
202207,60대 이상,F,한식,20440926121,615870
202207,60대 이상,M,간이주점,2027985369,52511
202207,60대 이상,M,고기요리,15617946769,362820
202207,60대 이상,M,디저트/음료,8101412399,620638
202207,60대 이상,M,별식/퓨전요리,2263287443,113940
202207,60대 이상,M,분식,3690899320,242674
202207,60대 이상,M,양식,982247632,29590
202207,60대 이상,M,일식/수산물,9798160344,200760
202207,60대 이상,M,중식,2361666208,109817
202207,60대 이상,M,패스트푸드,1515405649,127631
202207,60대 이상,M,한식,30498885434,912289
202208,30대,F,간이주점,3280167501,80028
202208,30대,F,고기요리,10938518827,258487
202208,30대,F,디저트/음료,16129229714,1662757
202208,30대,F,별식/퓨전요리,1973194935,87980
202208,30대,F,분식,3982640517,312917
